symptom,disease
itching,Hepatitis B
skin_rash,Psoriasis
nodal_skin_eruptions,Fungal infection
continuous_sneezing,Common Cold
shivering,Allergy
chills,Typhoid
joint_pain,Dengue
stomach_pain,GERD
acidity,Migraine
ulcers_on_tongue,GERD
muscle_wasting,AIDS
vomiting,Tuberculosis
burning_micturition,Urinary tract infection
spotting_urination,Unknown
fatigue,Common Cold
weight_gain,Hypothyroidism
anxiety,Hypoglycemia
cold_hands_and_feets,Hypothyroidism
mood_swings,Hyperthyroidism
weight_loss,Tuberculosis
restlessness,Hyperthyroidism
lethargy,Hypothyroidism
patches_in_throat,AIDS
irregular_sugar_level,Diabetes 
cough,Common Cold
high_fever,Typhoid
sunken_eyes,Gastroenteritis
breathlessness,Pneumonia
sweating,Hyperthyroidism
dehydration,Gastroenteritis
indigestion,Migraine
headache,Common Cold
yellowish_skin,Hepatitis B
dark_urine,Urinary tract infection
nausea,Dengue
loss_of_appetite,Tuberculosis
pain_behind_the_eyes,Dengue
back_pain,Dengue
constipation,Typhoid
abdominal_pain,Hepatitis E
diarrhoea,Gastroenteritis
mild_fever,Common Cold
yellow_urine,Hepatitis B
yellowing_of_eyes,Hepatitis B
acute_liver_failure,Hepatitis E
fluid_overload,Unknown
swelling_of_stomach,Alcoholic hepatitis
swelled_lymph_nodes,Tuberculosis
malaise,Hepatitis B
blurred_and_distorted_vision,Hypoglycemia
phlegm,Tuberculosis
throat_irritation,Common Cold
redness_of_eyes,Common Cold
sinus_pressure,Common Cold
runny_nose,Common Cold
congestion,Common Cold
chest_pain,Pneumonia
weakness_in_limbs,Cervical spondylosis
fast_heart_rate,Pneumonia
pain_during_bowel_movements,Dimorphic hemmorhoids(piles)
pain_in_anal_region,Dimorphic hemmorhoids(piles)
bloody_stool,Dimorphic hemmorhoids(piles)
irritation_in_anus,Dimorphic hemmorhoids(piles)
neck_pain,Cervical spondylosis
dizziness,Cervical spondylosis
cramps,Varicose veins
bruising,Varicose veins
obesity,Diabetes 
swollen_legs,Varicose veins
swollen_blood_vessels,Varicose veins
puffy_face_and_eyes,Hypothyroidism
enlarged_thyroid,Hypothyroidism
